Catégorie;Projet;Vote positif;Vote négatif;Description
La mobilité;146 - Des Navibus entre Herstal et Seraing;139;9;"Afin de désengorger le centre-ville, je suggère la mise en place d'un service de ""navibus"" entre Herstal et Seraing. Ces ""navibus"", autres transports en commun des ""TEC"" diminueraient la circulation des bus en ville, réduiraient le temps des trajets (pas d'embouteillage sur la Meuse!) et présenteraient un attrait touristique supplémentaire pour notre ville."
La mobilité;148 - Le Riverbus;77;29;"Nous pourrions imaginer de faire des navettes en bus ""amphibie"" qui pourrait allier Tourisme et découverte, déjà présent dans d'autres grandes villes: Budapest, Rotterdam, Stockholm. 

Un véhicule, deux utilisations, cela compléterait les trajets du TEC."
La végétalisation et l'agriculture urbaine;174 - Un chemin piétonnier à Kinkempois;44;3;Aménager le halage Rivage en Pot le long de la Meuse (à Kinkempois) en espaces verts pour les piétons avec des plantations et des fleurs. Reprendre en mains les jardins abandonnés et les cultiver en partage.
Des espaces verts, des espaces collectifs, des espaces apaisés;187 - La chasse aux dépots clandestins;90;1;"Quoi de plus moche et de plus révoltant que de découvrir un dépôt clandestin , où que ce soit ? ! 

J'habite un quartier résidentiel de Liège assez vert,  Un quartier paisible (en apparence) ou l'on dépose régulièrement de grande quantité de déchets en tous genres.   La découverte de dépôts clandestins importants est quasi quotidienne , hebdomadaire assurément!  Les espaces verts, de moins en moins disponibles et les bas cotés des rues , sont entre autres les endroits de prédilection dans notre quartier. 

En me promenant dans d'autre quartier de Liège , je constate que c'est pareil: des gens (riverains ou non), déversent dans la nature en toute impunité, du petit sac plastique au détour d'une promenade avec Médor, au  dépôt  énorme de meubles, déchets-verts ou de construction , avec des camionnettes, camions-benne, ou remorques. 

Ces dépôts sont parfois très originaux par leur contenu et leur importance. Il me semble ne pas y avoir une grande recherche des auteurs : des petits camions de la Ville passent ramasser ça au bout d'une semaine, quand tout va bien... Comme si c’était devenu normal. 

Bref,  c'est dégueu !

Ne pourrait-on pas répertorier les sites de ces dépôts importants et  y installer des caméras ? (Des caméras faciles à installer au gré des dépôts ) Une chasse proactive de ces grands pollueurs , en collaboration avec les riverains (Enquête de voisinage par la Police de l'Environnement par expl.). 

Qu'en pensez- vous? D'autres idées ?"
Ville participative, Collaborative et Numérique;210 - Implications des élèves dans la vie publique;36;3;"ATELIER CITOYENS Jupille/Wandre (28 mars)

Impliquer plus les élèves et étudiants dans la vie publique;

Mieux connecter les besoins de la ville avec les écoles."
La transition énergétique;216 - Electric Car 2 Go;87;7;Vous souhaitez disposer d'un véhicule pour effectuer vos achats en ville durant une heure ou deux? Electric Car 2 Go sont de petites voitures biplaces électriques à louer sous le même principe que Vélocité. Ces petites autos ne polluent pas l'air, sont faciles à garer et très silencieuses. Une alternative respectueuse de l'environnement urbain.
Inclusion sociale;232 - Promouvoir la diversité culturelle;79;7;"L'idée est de développer une coordination  entre tous les acteurs sociaux et les différentes associations qui composent le tissu multiculturel Liégeois, cette initiative pourrait donner naissance à des évènements favorisant la  tolérance et l'intégration positive.
La valorisation de la diversité culturelle se traduit par des actions concrètes sur le terrain, dès lors, l'idée du projet est de mettre en place "" La semaine de la diversité"".
Généralement, les associations se contentent de l'aspect culinaire pour faire connaître les différentes cultures mais cela reste peu par rapport à leur richesse, donc, les associations peuvent élargir le champs de leurs actions à d' autres évènements comme le théâtre, court métrage et soirées artistiques,,,,,,,"
Art, Culture, Patrimoine, Tourisme;239 - Un musée des techniques et de l'industrie;30;3;"L'actuelle Maison de la Métallurgie et de l'Industrie souffre de nombreux maux qui ne lui permettent plus d'assurer sa mission dans les meilleures conditions. Par ailleurs, Liège et sa région méritent un grand musée des techniques et de l'industrie, version modernisée.

Un tel musée, tout en valorisant les riches collections liégeoises, se devrait de dépasser le concept de catalogue de vieilles machines, et se donnerait de missions étendues : 
- exprimer la diversité des productions humaines
- rendre compte des réalités humaines de l'industrie
- ouvrir les perspectives d'avenir
- interagir en permanence avec le public, les écoles, les industries locales
- fédérer les musées et sites consacrés aux techniques et à l'industrie

Un déménagement semble nécessaire pour de si grands desseins. Ne craignons pas de jouer la carte métropolitaine : les Ateliers Centraux de Seraing ou le Pré Madame de Herstal seraient particulièrement bien indiqués et bien situés pour un tel musée.

Pour rendre le musée interactif, il faut que des machines fonctionnent, il faut utiliser l'immersion dans des ambiances, il faut utiliser la réalité augmentée, bref tous les moyens muséologiques modernes. Mais attention, avec discernement, au service d'un discours multiple mais cohérent. Pour les collections, il sera sans doute nécessaire de les enrichir avec des prêts à longue durée provenant de diverses industries ou musées de la région, qui pourraient y voir une formidable vitrine de leurs collections souvent peu valorisées à l'extérieur.

Le musée doit aussi être un centre qui renvoie vers les sites ou musées plus spécialisés (Blegny-Mine, Gosson, Centre de la laine,...), et surtout créer des liens entre les publics (surtout scolaires) et les industries existantes.

Mobilisons nous pour créer le musée des techniques et de l'industrie de la métropole liégeoise, qui pourra enfin témoigner de cet aspect incontournable de la vie passée, présente et future de notre région !"
Ville participative, Collaborative et Numérique;256 - Valoriser le commerce local à travers  le digital;15;5;"Une application qui s appelle promoliege le but est de valoriser la ville de liege ( events , culture ect)  et ces commerçants. Elle existe déjà depuis qlq mois et c est déjà un succès plus de 10.000 sur fb , plus de 15.000 utilisateurs et déjà plus de 80 commerçants partenaires !! 

Les commerçants et partenaires ont un accès pour encoder leurs promos  et ainsi informer tous les utilisateurs en temps réel . 

En un clic , grâce à notre plateforme la publication va sur tous les réseaux , fb, site , application , Instagram ect.....

Les utilisateurs sélectionnent leurs centre d intérêts sur l app et reçoivent en temps réel les informations , promotions des commerçants , events , culture ect...

L app servira aussi pour y mettre toutes  ces cartes de fidélités ,et jouer à  des concours tous les mois .

Tous les utilisateurs de l application recevront des cadeaux et bon de réduction le jour de leurs anniversaires. Ça c est du jamais vu , recevoir des dizaines de cadeaux en une fois pour  son anniversaire . 😜 
 Et encore d autres services à venir"
Des espaces verts, des espaces collectifs, des espaces apaisés;286 - Une piste  de luge;21;31;"Une sensation forte, en plein centre -ville de Liège, toute l'année avec une piste luge.

Faire une activité à sensation forte , en plein centre - ville de Liège toute l'année , tout en s'amusant avec toute la famille ,
en se protégeant avec des ports à casque et des ceintures bretelles . 

Aller à la citadelle et faire une descente avec une piste de luge  vers le centre de Liège ."
Des espaces verts, des espaces collectifs, des espaces apaisés;290 - Moderniser le  parcours santé à Cointe;49;5;Mon projet : Moderniser le parcours santé à Cointe avec du matériel fitness/musculation. Il faudrait mettre ce matériel dans un espace, dans les plaines de jeux, en plein air. C'est dans le but d'encourager et motiver les jeunes à faire du sport de façon plus moderne. Les élèves des écoles pourraient y participer aussi.
Ville participative, Collaborative et Numérique;296 - Reconvertir l'église notre Dame du calvaire;19;5;"Reconvertir l'église notre Dame du calvaire (Burenville) en salle d'exposition et/ou de conférence.

Cela pourrait permettre aux riverains de se retrouver dans un lieu d'exception pour discuter et échanger entre eux sur l'amélioration et le bien être du quartier.  Cet espace pourrait également accueillir des expositions d'art, des formations pratiques (""comment fleurir une façade"", brevet de secourisme...) mais aussi toutes autres activités liés à la maison intergénérationnelle de Burenville."
La mobilité;311 - Une ville adaptée à la mobilité douce;216;7;"Tendre vers une ville plus durable en espérant que la mobilité urbaine du futur sera bien une mobilité durable. En Wallonie, 20% des émissions de gaz à effet de serre sont dues au secteur des transports !

Les grandes villes européennes réparent aujourd'hui leurs erreurs du passé du ""tout à la voiture"", Liège doit en faire autant. Citons comme exemple Amsterdam, Barcelone, Brême, Copenhague, Édimbourg, Ferrare, Graz, Strasbourg, etc. qui font la démonstration chaque jour qu'une diminution de l'usage de la voiture individuelle est un objectif non seulement souhaitable, mais aussi nécessaire. L'amélioration des conditions pour les cyclistes permet d’augmenter la qualité de la vie en ville.

Dès lors, soutenons Liège pour continuer dans sa lancé et davantage développer son réseau de mobilité douce, en particulier cycliste.

Quelques idées concrètes :
- Oser redistribuer l'espace public pour davantage de place aux cyclistes et piétons
- Mise en place d'un service de vélo partagé (type Villo)
- Améliorer les traversées pour modes actifs
- Aménager des pistes cyclable sécurisées ( Le Quai des Ardennes est une catastrophe)
- Créer davantage d'emplacement pour garer son vélo en sécurité
- Engager une ""madame/monsieur vélo"" au sein de la ville pour ne faire que ça à temps plein
- S'inscrire dans la vision ""Vile cyclable- ville d'avenir"" de l'Europe :http://ec.europa.eu/environment/archives/cycling/cycling_fr.pdf
- Etc.

Merci de la part de toutes les générations futures !"
Des espaces verts, des espaces collectifs, des espaces apaisés;312 - Réaménager la Place Cathédrale;46;11;"Oui, les fleurs c'est joli mais ne préfère-t-on pas une place avec des bancs qui permettent de regarder les enfants qui jouent sur la place?

Une envie de manger son sandwich bien installé sur un banc au centre ville de liège? Votre enfant veut rouler en patin, à vélo, jouer, sauter avec papa pendant que mama fait du shopping? Vous allez où? Les endroits sont rares...

La place Cathédrale est une belle opportunité pour offrir cela: bien exposée au soleil, centrale, grande.... mais son centre est inaccessible. 
Réaménageons la pour qu'elle permette de devenir une vraie place urbaine permettant une réelle appropriation. 

Un aménagement sobre (vide) permettrait une occupation libre afin de maintenir les différents marchés..."
Des espaces verts, des espaces collectifs, des espaces apaisés;314 - Redynamiser la Galerie Opera;88;2;"Depuis la disparition des cinémas, la Galerie Opera se meurt !
Même Jokari, pourtant dinosaure du jouet à Liège, entrainé dans sa chute, ne devrait plus y survivre très longtemps.
Et même si la récente arrivée de l'université (par la reprise des salles de ciné, transformées en amphi) permettent à la Galerie de surnager, il n'en reste pas moins qu'il est triste de la voir agonisante.
Pourtant, dans mon jeune temps, c'était ""the place to be"", avec ses cafés, sa crêperie, ses files interminables pour aller voir un film, son bar à cocktail, ses magasins spécialisés, et ses bandes de jeunes crâneurs qui s'installaient à l'étage, appuyés sur la balustrade, pour ""mater"" les jeunes filles qui passaient en bas.
Il faut dire qu'elle a du mal à s'imposer, entre le passage Lemonier et les Galeries Saint-Lambert. Sa configuration biscornue, avec ses nombreuses entrées, ses recoins et ses passages presque cachés, ne facilite pas sa promotion.
Mais elle a son charme, avec son plafond décoré par Fernand Flausch, et ses danseurs de Mady Andrien.
Je suis en manque d'idée pour la remettre sur pied, mais il serait bon de lui redonner vie, elle le mérite..."
Des espaces verts, des espaces collectifs, des espaces apaisés;336 - Des poubelles pour recycler;47;1;"Adapter les poubelles en modifiant le bac intérieur en 2 bacs séparés.
L'un récolterait les PMC et l'autre, tous les autres déchets.
Pourquoi ne pas adapter un cendrier accroché à l'extérieur pour éviter de retrouver des mégots au sol ?
Un coup de jeune sur nos vieilles poubelles en les transformant intelligemment.
Un tri sélectif visant à éduquer et à faire collaborer activement la population."
Art, Culture, Patrimoine, Tourisme;357 - Stop à la destruction des belles façades;174;3;"Stop à la destruction des belles façades de l'époque de Liège  ,mais de la restaurer .

Décevant de voir qu'on a détruit beaucoup des belles maisons avec des  belles façades à Liège ou destruction totale  des beaux  quartiers comme rue des degrés saint-pierre à Liège ."
La mobilité;368 - Modifier les priorités des routes;51;34;"À Liège, bien souvent les petites routes sont prioritaire sur les grandes routes et ceci pour ralentir le trafic. Cette manière de faire peu naturelle crée régulièrement des situations dangereuses parce que les conducteurs ne s'attendent pas à devoir céder la priorité à ces endroits.
Pourtant il y a d'autres moyens de ralentir le trafic, par exemple l'ajout de pistes cyclables.
On l'a bien vu boulevard Kleyer et boulevard de la Sauvenière où la vitesse moyenne de la circulation a notablement diminué après le marquage d'une piste cyclable sur le sol.
Organiser la circulation d'une manière naturelle est un gage de sécurité aussi.

PS. Pourquoi je n'ai pas la possibilité de commenter ma propre idée?  Administrateur?"
Des espaces verts, des espaces collectifs, des espaces apaisés;375 - Recréer les portes de Liège;54;4;"Attention!  Il ne s'agit pas de boucher le centre ou de créer des barrières! L'idée est de rematérialiser par des installations contemporaines (arches, ponts, installations végétales monumentales, bref, que les créatifs contemporains nous étonnent) les anciennes portes de la Ville afin de souligner son ancienne physionomie. Porte d'Amercoeur (à hauteur du pont), portes Saint Léonard et Vivegnis (Esplanade des Déportés), porte Sainte-Walburge (rue Sainte Walburge), fausse porte de Pierreuse, etc.
Il est possible aussi de souligner les nouvelles entrées de ville (Burenville, Robermont, à déterminer) par de semblables installations."
Inclusion sociale;399 - Gérer la mendicité;115;18;Pas 1 mètre en marchant sans être sollicité par un mendiant ou de voir un coin d'immeuble transformé en habitat de fortune. Liège la ville au plus grand nombre de mendiants par mètre carré?
Art, Culture, Patrimoine, Tourisme;423 - Un musée du design et du modernisme;60;16;"Situé dans le nouvel espace Boverie, le Palais des Congrès est une oeuvre remarquable du modernisme architectural liégeois. Liège était un terreau de la création d'avant-garde sur le plan des idées (revues, projets) et des réalisations malheureusement pas assez nombreuses.
Depuis le départ de la Rtbf, un important volume du bâtiment est vide. Une réaffectation de cet espace permettrait d'y créer un musée vivant du design au sein d'une ""ïle"" consacrée aux arts et  à la découverte.
A la fois chronologique ( du XIX° à nos jours) et thématique ( ex: les matériaux nouveaux créés dans notre bassin industriel), un tel musée peut remplir un objectif pédagogique et d'intérêt artistique. 
Les artistes et les événements liégeois sont nombreux: Serrurier-Bovy, l'expo 1905, Marcel-Louis Baugniet, l'affiche liégeoise, Val Saint Lambert...jusqu'aux architectes-urbanistes Egau, L'Equerre, Vandenhove ( vous compléterez!). Et, en finale, proposer une vision de l'évolution du design et du mode de vie, devenus internationaux.
Il n'y a pas d'autre musée significatif du design en Belgique, si ce n'est à Gand. Liège a sa place à jouer. J'espère modestement être soutenu par de simples amateurs, comme moi, et qui sait par des historiens de l'art et des architectes!"
Des espaces verts, des espaces collectifs, des espaces apaisés;424 - Des tables  de ping-pong en matériel inaltérable;27;6;si c'est du matériel inaltérable, dispose quelques tables de ping-pong ,(parcs,gare,placettes,plaines de jeux).Pas trop bruyant, convivial,pas trop d'entretien,le ping peut faciliter des rencontres citoyennes, et nous révèler un autre Jean-MI,Jean Mi!
La mobilité;434 - Pistes cyclables;270;9;"Il y a un réel problème de pistes cyclables à Liège, certaines disparaissent en plein milieu de la route ou sont trop étroites. Sans parler des vvéhiculs qui se garent dessus. Il faudrait, comme on le voit aux Pays-bas par exemple, créer une ""route"" spécifique pour les vélos. Elle serait, comme pour l'instant, entre la route et le trottoir et serait séparée de la route par une petite bordure."
Des espaces verts, des espaces collectifs, des espaces apaisés;445 - Une structure 'architec-sculpturale' sur Tivoli;15;10;"Beaucoup se sont gaussés du caractère ""mussolinien"" de la place Saint-Lambert, ouvrant à tout vent de l'Opéra à Féronstrée. Or on sait que l'espace Saint-Lambert et la place du Marché ont, de tous temps, eu des fonctions différentes. Depuis la saga de la transformation de Saint-Lambert, la place du Marché a perdu son atmosphère intimiste et conviviale, malgré les efforts de la Ville et des commerçants. Le temps est venu d'arrêter de tergiverser: l'ïlot Tivoli doit fermer les deux places, sans qu'il faille bâtir une construction ""occupable"", ""rentable"" ou que sais-je? 
L'expérience du Choeur de la Cathédrale a frappé le public pour un temps. Retenons-en l'aspect structurel. Il est possible et réaliste de monter une réalisation ""architec-sculpturale"" contemporaine qui ne nuise en rien aux déplacements du public entre les places, ni même à l'occupation de l'îlot.
Allons voir du côté des artistes. A titre d'exemple, Wim Delvoye (flamand) a réalisé des structures en acier corten s'inspirant de l'art gothique...comme feue la Cathédrale Saint-Lambert. Pastiche? Clin d'oeil? C'est aux architectes et aux artistes de traduire une sensibilité qui ""parlerait"" aux habitants.
Une ultime occasion de rendre son coeur à Liège."
Des espaces verts, des espaces collectifs, des espaces apaisés;455 - Brasserie sur le club d'aviron;34;2;"Brasserie/café  sur l'emplacement du club d'aviron  parc de la boverie

situé dans un cadre idéal ( parc de la  boverie ) le long de la meuse le club d'aviron pourrait se voir doter d'un café brasserie  avec terrasse idéalement située ( ce qui pourrait faire le bonheur des liégeois lors  de beau temps) . plus value 
pour le tourisme , promeneurs etc ..."
Ville participative, Collaborative et Numérique;486 - Plus d'espaces de travail partagés;43;6;"De plus en plus d’indépendants, collaborateurs  et employés sont amenés à créer une bulle de travail à domicile ou ailleurs. Il est intéressant d’avoir un lieu ou développer et lancer son activité au centre-ville ou en périphérie.

« La forge » est un lieu co-working  et il est adapté aux besoins des travailleurs mobiles. Mais, ces espaces sont peu nombreux.  Ce mode de travail doit être un moyen facile, organisé et équipé permettant d’accéder à un environnement social adéquat. 

Réaffecter et rénover des espaces existants adaptés pour ces « sans bureau fixe ». La ville est idéale pour ce type d’implantation : plus d’hôtels avec  espaces business , des casernes réaffectées, des églises, des bibliothèques,…Il peut s’agir tout simplement de locaux  loués.

De plus, il s’agit de rénovations qui aident au développement  des entreprises d’aménagement, de design et de développement en méthode de travail… et cela développe la ville d’un point de vue économique."
Ville participative, Collaborative et Numérique;492 - Des toilettes publiques et gratuites dans le Carré;61;6;"Chaque Vendredi/Samedi soir c'est pareille: certains endroits du Carré se transforment en pisodrome à ciel ouvert (je pense à la Rue du Diamant, le porche de l'école Sauvenière ou  jusqu'il y a peu l'entrée de l'ancien Cinéma Concorde aujourd'hui fermé par une palissade de bois pour limiter le problème).
Mettre fin à cette nuisance tout en gardant l'activité économique et sociale du Carré est une évidence.

La solution serait de créer une toilette publique, gratuite, ouverte aux heures d'affluences, le plus au centre possible du Carré. 
En prenant exemple sur ce qu'y se fait à Gent, il est possible de créer une toilette publique ouverte à tous (je pense surtout aux femmes et au PMR), dont l'accès est surveillé et limité (caméra de surveillance à l'intérieur et porte coulissante à l'entrée) de manière à garder ce lieu agréable et propre.

L'attention doit surtout être porté à garder ce lieu accessible à tous et ne pas se transformer en dortoir à SDF ou en plaque tournante de la drogue. Ce sont des toilettes, ça doit le resté et servir à cela."
La mobilité;500 - Améliorer les passages piétons;107;1;"-Rendre les passages piétons plus visibles;
-repenser leurs situations.
Et ce affin de rendre la circulation plus fluide et sécuriser les piétons comme les automobilistes"
Ville participative, Collaborative et Numérique;501 - Création de boîtes à partage dans les quartiers;82;4;"Dans ces boîtes à partage, on dépose et on récupère des objets de nature diverse (livres, vêtements, petits électros, ...) dont nous n'avons plus besoin, le tout bien entendu gratuitement.

Beaucoup de ville en France ont déjà des boîtes à partage dans leurs quartiers.  Et force est de constater que le succès est au rendez-vous.

Les boîtes à partage ont plusieurs objectifs: 

1/ Sensibilisation à la lutte contre le gaspillage en offrant une seconde vie à nos objets;

2/ Création de le lien social en permettant aux habitants d'un quartier d'échanger sur place entre eux leurs objets;

3/ Aide aux plus démunis."
Ville participative, Collaborative et Numérique;506 - Une plateforme d'achats groupés;41;3;"ATELIER CITOYENS Saint-Gilles/Laveu (25 avril)

Création d'une plateforme qui permet de développer les achats groupés et les échanges de seconde main."
Ville participative, Collaborative et Numérique;511 - Retransmission des conseils communaux;71;1;"ATELIER CITOYENS Saint-Gilles/Laveu (25 avril)

Création d’une plateforme internet pour voir en direct ou pout obtenir des broadcasts/podcasts des conseils communaux et des informations sur l’évolution des projets de la ville."
Ville participative, Collaborative et Numérique;518 - Des espace/cafés apéro.;22;5;"L'apéro est l'un des fondements de notre société. Il permet d'améliorer l'esprit de partage des citoyens ainsi que la diffusion d'anecdotes croustillante.

L'idée est de créer un espace dans notre ville où prendre un apéro entre amis ou avec des inconnus sera simple et accessible. Un petit magasin vendant des produits adéquats à l'apéro pourra également être installé non loin des infrastructures."
